id,company_id,name,email,password_hash,role_id,status,created_at
5c18e65c-3e58-4017-9153-3d935940df09,bcafd1f4-11ba-4374-b283-0b28929c2b5a,User_1,user1@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,9,suspended,2023-10-19 08:23:31
48edb79d-5d20-487f-b995-3333eaff24d7,f993b3fc-74f3-4983-be92-1bd84fcbf357,User_2,user2@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,9,active,2023-08-25 22:14:49
1815f22f-44fb-4a23-8ae0-7cfdaaa46336,69fb075b-d2aa-4cd7-8c5a-372a5dcd815b,User_3,user3@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,6,active,2023-07-26 18:30:50
dda6aa09-280e-423d-a9ba-603ebdf958ba,f993b3fc-74f3-4983-be92-1bd84fcbf357,User_4,user4@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,8,suspended,2023-10-14 21:25:44
69463e7c-9a02-49cd-9ee6-40ae493fa60c,69fb075b-d2aa-4cd7-8c5a-372a5dcd815b,User_5,user5@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,6,suspended,2024-12-01 01:22:48
4b35379a-08c3-46aa-818c-1580dfeef2b9,f993b3fc-74f3-4983-be92-1bd84fcbf357,User_6,user6@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,3,active,2024-04-15 15:34:39
219d821f-0112-46a4-a590-1a7427d9ec7f,f993b3fc-74f3-4983-be92-1bd84fcbf357,User_7,user7@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,8,active,2024-08-27 13:46:47
7e73dee3-a6d3-4590-8c35-408193389692,f993b3fc-74f3-4983-be92-1bd84fcbf357,User_8,user8@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,3,suspended,2024-12-13 04:08:02
1f268408-3613-476c-a3ef-1db4784cd746,bcafd1f4-11ba-4374-b283-0b28929c2b5a,User_9,user9@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,7,suspended,2023-03-22 21:45:10
b0efcb1a-a3a2-4656-9445-140fcecc6867,69fb075b-d2aa-4cd7-8c5a-372a5dcd815b,User_10,user10@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,2,active,2024-12-08 15:29:09
50004474-9732-4438-b1d9-3b5ecf2172f9,f993b3fc-74f3-4983-be92-1bd84fcbf357,User_11,user11@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,5,suspended,2023-05-26 20:08:30
f9e3d2f5-0f49-4a89-bfba-5f3b6cdd525c,f993b3fc-74f3-4983-be92-1bd84fcbf357,User_12,user12@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,10,suspended,2024-01-26 07:30:04
78668956-b00e-482d-950f-76b771f6bc7f,69fb075b-d2aa-4cd7-8c5a-372a5dcd815b,User_13,user13@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,3,suspended,2024-01-16 22:19:50
0b16e606-cc40-42e0-89b2-54791727d552,bcafd1f4-11ba-4374-b283-0b28929c2b5a,User_14,user14@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,1,active,2023-10-25 11:58:34
7c37009f-0756-414f-b99d-757ba8cf0c19,69fb075b-d2aa-4cd7-8c5a-372a5dcd815b,User_15,user15@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,8,suspended,2023-12-07 13:41:56
f6c57301-5af9-4e36-836a-9d13e41e2be7,69fb075b-d2aa-4cd7-8c5a-372a5dcd815b,User_16,user16@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,7,suspended,2023-03-22 13:14:33
6dcb2c3f-6784-4819-8f69-9f6d329f565c,f993b3fc-74f3-4983-be92-1bd84fcbf357,User_17,user17@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,7,suspended,2023-08-09 15:59:44
acb97fb2-3448-4ed2-b11f-b84656649470,69fb075b-d2aa-4cd7-8c5a-372a5dcd815b,User_18,user18@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,8,active,2023-05-09 09:15:21
b052a4db-7659-48db-9177-de61a26cccf0,bcafd1f4-11ba-4374-b283-0b28929c2b5a,User_19,user19@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,1,suspended,2024-03-03 11:00:19
97ef5ef2-17eb-4baa-93c0-d07d094f1f37,69fb075b-d2aa-4cd7-8c5a-372a5dcd815b,User_20,user20@mail.com,994ef08f7eb23e6fdffc532e33c551795d14f9e5ade4575a5e374e042fa2fea6,10,active,2023-12-20 05:33:41
