user_id,full_name,email,password_hash,profile_id,role_id,is_active,created_at,updated_at
4d2935cc-d14f-48b4-84dd-f13f12a02c4c,User_1 Name_1,system.user1@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,63980388,4,True,2022-06-26 08:09:07,2022-11-01 15:50:06
e69e0bd7-0612-40b1-9d30-8423a2401371,User_2 Name_2,system.user2@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,75368304,3,True,2022-11-10 18:39:19,2022-12-17 07:17:11
8c0704ba-bd8a-4427-a1d0-ab4788b9fee0,User_3 Name_3,system.user3@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,76087650,3,True,2024-04-25 20:42:48,2023-10-31 21:27:00
42f7fceb-b70b-427a-8bd7-a43cf61ed0ca,User_4 Name_4,system.user4@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,50727783,1,True,2023-01-01 23:00:45,2024-07-19 15:57:06
4d5675bf-6afd-4116-a127-1c33c51212f5,User_5 Name_5,system.user5@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,77509730,1,True,2024-08-13 03:08:10,2023-03-27 18:42:32
77b2b02e-42b2-4133-8ec4-c20b57040c13,User_6 Name_6,system.user6@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,64721954,2,False,2022-12-31 17:48:44,2023-12-27 21:37:44
c75fa51e-c5c8-4e8d-aaee-655cf705418d,User_7 Name_7,system.user7@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,60908016,3,False,2022-04-02 22:14:50,2024-01-07 19:34:42
11894293-f9a9-46bb-87f8-410cf6b1ba71,User_8 Name_8,system.user8@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,73723839,1,True,2023-06-18 22:24:04,2023-07-21 17:47:59
a1ae216b-665d-4d65-8f90-2dcb91f5f08a,User_9 Name_9,system.user9@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,54496478,3,False,2022-01-20 00:57:01,2023-08-28 03:31:11
1adb3788-dd40-4d21-8a27-4beb47df97a2,User_10 Name_10,system.user10@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,52630356,3,True,2024-11-28 20:32:50,2023-10-31 11:34:06
d0d0e6d5-6aaf-4cd1-9736-46457b012c61,User_11 Name_11,system.user11@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,67787420,1,True,2024-02-03 21:02:29,2022-04-13 07:13:38
309d1a7d-ccfa-4562-89a6-f683e7561fd3,User_12 Name_12,system.user12@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,52648739,1,False,2023-08-05 03:49:17,2024-05-04 15:03:05
d1c166ac-e693-49a6-875a-9023831bc95f,User_13 Name_13,system.user13@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,63953332,1,False,2022-10-12 23:02:57,2024-02-05 16:02:03
2dbb07e7-58c7-479c-a5dc-1107e0ce2815,User_14 Name_14,system.user14@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,61104046,4,True,2022-04-13 10:21:30,2024-03-12 03:55:30
43cf3199-7e7c-4702-8661-e3f866dff89e,User_15 Name_15,system.user15@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,64220772,3,True,2022-10-31 15:01:04,2024-09-09 10:44:46
46f24e8e-8d85-4e16-b393-a2039c0c07c1,User_16 Name_16,system.user16@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,65552483,3,False,2022-11-04 19:52:34,2023-10-08 12:46:08
3b042d69-9e52-458f-b577-e82a34cdf533,User_17 Name_17,system.user17@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,64489269,4,False,2022-09-06 18:50:23,2024-01-20 18:00:30
c176a265-987f-4219-b2ba-c65a69751499,User_18 Name_18,system.user18@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,77423789,1,False,2024-11-07 09:15:42,2022-09-20 23:20:32
98068cc8-e716-4282-bccf-61ff38e338b8,User_19 Name_19,system.user19@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,69465411,1,False,2022-02-03 01:52:20,2024-04-07 16:45:41
fd4ea5fc-454d-43fc-92df-e2e83dc72723,User_20 Name_20,system.user20@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,73586758,2,False,2023-09-29 10:20:42,2024-04-29 07:50:08
8a7bd12c-e017-489f-9c64-d8fe2a9f63bb,User_21 Name_21,system.user21@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,57931047,1,False,2022-10-04 15:03:01,2023-03-08 23:29:24
bff01b72-ecaf-4bd7-8d5e-4279b16576df,User_22 Name_22,system.user22@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,57083008,4,True,2022-04-05 17:46:30,2024-11-23 06:56:04
c751b01a-d36d-49fb-919d-23837e2dad58,User_23 Name_23,system.user23@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,54801400,2,False,2022-05-04 18:56:17,2024-10-24 13:35:57
d616c034-077a-41c6-ad39-245619a070eb,User_24 Name_24,system.user24@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,66860607,1,False,2023-05-29 14:17:36,2024-10-14 00:33:29
8794aa11-e2b5-4921-9e42-0a060f6871ec,User_25 Name_25,system.user25@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,75125764,1,True,2023-12-21 20:17:54,2023-01-11 12:50:34
98088d33-0c7f-4745-a4e2-1f29187ca64c,User_26 Name_26,system.user26@mail.com,6af0decfb47e554faf61a00cfd6d66186b162a350a777080c187216c24455569,77688772,2,True,2022-10-20 00:16:29,2023-06-29 13:54:46
